text_id,project,match_text,numeric_value,context
P313425,saao_saa01,30,30,(I swear) I am staying in Ṣupat! In Huzaza I have only sold 30 homers of grapes for silver. The king my lord should (only)
P313425,saao_saa01,one,,"at the city-gate of Ṣupat, and now they have placed another one in Huzaza; the Arabs are leaving and not coming any more be"
P313425,saao_saa01,one,,"-Šarruken, so I got hold of them and brought them down, but one of them got sick and died while the other ran away again. T"
P313427,saao_saa01,one,,"y?"" — if the brothers of Gidgidanu working with me, if even one of them has gone out of the [city g]ate of Dur-Šarruken and"
P313427,saao_saa01,one,,"d he pun]ished me, [......]. These words [...... I swear no one] of the brothers [of Gidg]idanu [has gone] out [of] Dur-[Ša"
P313435,saao_saa01,200,200,"lord! [As to] what the king, my lord, [wrote to m]e: ""Give 200 homers of oil [i]n Til-Barsip to Kiṣir-Aššur, governor of D"
P313435,saao_saa01,200,200,"to Kiṣir-Aššur, governor of Dur- Šarruken,"" — [I set asi]de 200 homers of oil and delivered it. I have now written the oil"
P313437,saao_saa01,17,17,"ant Ṭab-šar-Aššur. Good health to the king, my lord! On the 17th I and Kiṣir-Aššur went to the Zab river and inspected the"
P313439,saao_saa01,twelve,,"lord! As to what the king, my lord, wrote to me: ""Find big twelve-cubit bull colossi!"" — [There are two] in front of the main"
P313439,saao_saa01,two,,"e to me: ""Find big twelve-cubit bull colossi!"" — [There are two] in front of the main gate of the center of the city; [one]"
P313439,saao_saa01,one,,two] in front of the main gate of the center of the city; [one] is an [el]even-cubit colossus [of the Chief C]upbearer; th
P313439,saao_saa01,two,,"; the other has a [...] and is not 'clean'. Then there are [two] bull colossi of Zeru-ibni, each ten cubits; one he has set"
P313439,saao_saa01,ten,,"lean'. Then there are [two] bull colossi of Zeru-ibni, each ten cubits; one he has set up in front of the royal palace, the"
P313439,saao_saa01,one,,"there are [two] bull colossi of Zeru-ibni, each ten cubits; one he has set up in front of the royal palace, the other one i"
P313439,saao_saa01,one,,"; one he has set up in front of the royal palace, the other one is extra and in his possession. Let him give it [to] the Pa"
P313439,saao_saa01,two,,"the kin]g my lord so orders, I could bring down (the river) two bull colossi [that have been fini]shed, one in [the city of"
P313439,saao_saa01,one,,"own (the river) two bull colossi [that have been fini]shed, one in [the city of ...], the other in Tastiate. Now, [I have ("
P313439,saao_saa01,one,,"in Tastiate. Now, [I have (already) brou]ght down to Adia [one] bull colossus of Zeru-ibni; another one belonging to the T"
P313439,saao_saa01,one,,]ght down to Adia [one] bull colossus of Zeru-ibni; another one belonging to the Treasurer [is in Ur]zuhina. The king [....
P313447,saao_saa01,Six,,"ere any (other) boat you are bringing in addition to it?"" — Six Assyrian boats have been launched on the river. I showed th"
P313447,saao_saa01,two,,"hey said: ""We won't go near them."" Now, I am going to bring two of these boats and, going back and forth, [use them to tran"
P313447,saao_saa01,one,,"a deadly sin, but the king, my lord, let me live. And th[is one] — now, I suggested it to the king, the king my lord has [."
P313458,saao_saa01,four,,"ch the king wr]ote to me tomorrow. (SPACER) (SPACER) Within four days, ... the time (for the ritual). He (said): ""(It is) ti"
P313458,saao_saa01,1,1,"time"". (SPACER) We shall arrive (in the Inner City) on the 1st; the ... is on the 14th; we shall spend the night in the"
P313458,saao_saa01,14,14,"ll arrive (in the Inner City) on the 1st; the ... is on the 14th; we shall spend the night in the temple on the 15th. Now,"
P313458,saao_saa01,15,15,"on the 14th; we shall spend the night in the temple on the 15th. Now, [......] whenever the king orders. (SPACER) As to t"
P313505,saao_saa01,10,10,"lord]! May Adad and Buru bless [the king], my lord! On the 10th Dadâ [bro]ught me a sealed order of the king [my lo]rd co"
P313509,saao_saa01,23,23,"ng, my lord! Having left the king my lord's presence on the 23rd of Iyyar (II), I entered the city of Hindana on the 30th."
P313509,saao_saa01,30,30,"he 23rd of Iyyar (II), I entered the city of Hindana on the 30th. Hindana is well, the land of Suhu is well, the forts of"
P313509,saao_saa01,3,3,lad]. (Break) ...] did not s[ay ...] like t[his ...] On the 3rd of [Sivan] (III) I left Hindana on my chariot and drove o
P313523,saao_saa01,[120],120,"d health to the king, [my lord]! The governor of Arbela has [120] king's men who did not go to the campaign with the king but"
P313523,saao_saa01,30,30,"nd shall not take hold of his men (without his permission). 30 (men from) Tillê, 60 (from) the land of Hamudu of the gover"
P313523,saao_saa01,60,60,"d of his men (without his permission). 30 (men from) Tillê, 60 (from) the land of Hamudu of the governor of Calah, 30 from"
P313523,saao_saa01,30,30,"llê, 60 (from) the land of Hamudu of the governor of Calah, 30 from the city of [...]ba. They have neither rations nor wor"
P313527,saao_saa01,16,16,iving] the chariots of the magnates on the afternoon of the 16th and they are giving them over to me — the Comm[ander-in-C
P313527,saao_saa01,1,1,"bearer], the Treasurer, and the governor of [Calah]; in all 1[00] chariots capable of carrying ...[...]. The chariots of"
P313527,saao_saa01,[00],0,"earer], the Treasurer, and the governor of [Calah]; in all 1[00] chariots capable of carrying ...[...]. The chariots of the"
P313543,saao_saa01,one,,"orrow, [when] I send [my eunuch, don't say: ""]I brought out one widow [......] that she would die [...] she would give [..."
P313571,saao_saa01,ten,,"cult."" The Governor of the Land told me: ""I'll first (stay) ten days here, [then ......] which during [......] Labdudu [..."
P313571,saao_saa01,1,1,"en ......] which during [......] Labdudu [.......]."" On the 1st of Tishri (VII), [when] the earlier [...] arrived in the"
P313614,saao_saa01,200,200,(Beginning destroyed) ......] the son of [......] 200 m[en ...] of Tarṣ[i-...] a kin[sman of ...] are indeed [...
P313626,saao_saa01,160,160,"deportees about whom the king my lord wrote to his servant, 160 healthy persons have come to me from the city of Si'immê. I"
P313626,saao_saa01,three,,"he king my lord knows that in Guzana they ate stored grain, three seahs per person ... — now, just as the king my lord orders"
P313626,saao_saa01,one,,"s per person ... — now, just as the king my lord orders, is one really to give them oil as well? Just as the king my lord o"
P313626,saao_saa01,277,277,"še the palace superintendent has come, checked and received 277 persons from me. (SPACER)"
P313627,saao_saa01,two,,"(Beginning destroyed) [While] I was there, I sent two teams of horses to Nemed- Ištar and two to Sinu, but they d"
P313627,saao_saa01,two,,"I was there, I sent two teams of horses to Nemed- Ištar and two to Sinu, but they did not get there. The king my lord will"
P313629,saao_saa01,30,30,"ppointed [......] of Isana. All is well, nobody is missing. 30 courses of bricks of the akitu chapel were laid on the 3rd."
P313629,saao_saa01,3,3,. 30 courses of bricks of the akitu chapel were laid on the 3rd. (SPACER) The king my lord knows that I have no grain sto
P313644,saao_saa01,Three,,... Is [there] a servant who does not [...] about [......? (Three lines erased) (SPACER) (SPACER) [As to] this governor of yo
P313644,saao_saa01,one,,f [......]. Don't [eunuchs] die in the harem every day? The one who [......] rebelled against you did not succeed [......].
P313644,saao_saa01,one,,"rned [... into ...]. In return, I am going to enthrone this one [......]. As to what you wrote: ""...[......]; he should tel"
P313644,saao_saa01,one,,"l you!"" I have asked him, and he told me: ""My crime [...... one of] my colleagues wrote to me: 'Don't [...! ......]' I took"
P313699,saao_saa01,700,700,"pment[s ...] ""shipments [......] ""to the governor [......] ""700 m[en ......] (Rest destroyed) (SPACER)"
P313719,saao_saa01,two,,(Beginning destroyed) [......] servants (two broken and obscure lines) [......] Marduk-šumu-iddina [....
P313722,saao_saa01,one,,guard [...] under my command are asking for plants [... and one] full talent of bronze [...] per one team of hor[ses ...] i
P313722,saao_saa01,one,,ng for plants [... and one] full talent of bronze [...] per one team of hor[ses ...] in accordance with what the ki[ng ...]
P313742,saao_saa01,half,,"o] me, the length of the first bu[ll colossus] is [x] and a half royal [cubits], [its] widt[h is x]; from the length and the"
P313742,saao_saa01,half,,idt[h is x]; from the length and the width [x] cubits and a half have been finished. [Another] colossus: [length is] 9.5 cub
P313742,saao_saa01,9,9,a half have been finished. [Another] colossus: [length is] 9.5 cubits; from its other side t[o the r]iver [......] cubit
P313742,saao_saa01,5,5,half have been finished. [Another] colossus: [length is] 9.5 cubits; from its other side t[o the r]iver [......] cubits
P313742,saao_saa01,10,10,"h is x cubits], width [x cubits]; a bull colossus: [length] 10.[5 cubits], width 5 cubits; [in the c]ity [of ...]; a bull"
P313742,saao_saa01,[5,5,"s x cubits], width [x cubits]; a bull colossus: [length] 10.[5 cubits], width 5 cubits; [in the c]ity [of ...]; a bull col"
P313742,saao_saa01,5,5,"[x cubits]; a bull colossus: [length] 10.[5 cubits], width 5 cubits; [in the c]ity [of ...]; a bull colossus: [length] 1"
P313742,saao_saa01,10,10,"5 cubits; [in the c]ity [of ...]; a bull colossus: [length] 10 cu[bits], width 5 cubits; [...] the land of Habruri. [In al"
P313742,saao_saa01,5,5,"]ity [of ...]; a bull colossus: [length] 10 cu[bits], width 5 cubits; [...] the land of Habruri. [In all] eight bull colo"
P313742,saao_saa01,eight,,"[bits], width 5 cubits; [...] the land of Habruri. [In all] eight bull colossi of the magnates [remai]ning. We have [not] yet"
P313748,saao_saa01,12,12,(Beginning destroyed) [On the 12th and 13]th I delivered the (barley) of the governor [of ..
P313748,saao_saa01,13],13,(Beginning destroyed) [On the 12th and 13]th I delivered the (barley) of the governor [of ...] in the
P313748,saao_saa01,14,14,"ey) of the governor [of ...] in the city of Issete, [on the 14th], 15th and 16th, [that of the gov]ernor of Arbela in [..."
P313748,saao_saa01,15,15,"the governor [of ...] in the city of Issete, [on the 14th], 15th and 16th, [that of the gov]ernor of Arbela in [...]-Adad."
P313748,saao_saa01,16,16,"nor [of ...] in the city of Issete, [on the 14th], 15th and 16th, [that of the gov]ernor of Arbela in [...]-Adad. [On the"
P313748,saao_saa01,17,17,"th, [that of the gov]ernor of Arbela in [...]-Adad. [On the 17th and] 18th [I delivered] the (barley) of the Palace Herald"
P313748,saao_saa01,18,18,of the gov]ernor of Arbela in [...]-Adad. [On the 17th and] 18th [I delivered] the (barley) of the Palace Herald [in the t
P313748,saao_saa01,19,19,own of ...]appi on [this] side of the city of Baqar; on the 19th and 20th [I delivered that of the governor of Ar]zuhina [
P313748,saao_saa01,20,20,.]appi on [this] side of the city of Baqar; on the 19th and 20th [I delivered that of the governor of Ar]zuhina [......] Š
P313748,saao_saa01,Five,,e governor of Ar]zuhina [......] Šamaš-belu-(uṣur) [...... (Five untranslatable lines) [On the 21st and 22nd] I delivered [t
P313748,saao_saa01,21,21,maš-belu-(uṣur) [...... (Five untranslatable lines) [On the 21st and 22nd] I delivered [that] of the Chief of Granaries [i
P313748,saao_saa01,22,22,(uṣur) [...... (Five untranslatable lines) [On the 21st and 22nd] I delivered [that] of the Chief of Granaries [in ...; on
P313748,saao_saa01,23,23,delivered [that] of the Chief of Granaries [in ...; on the 23rd] I delivered [that of] the governor of Kilizi in [...]. I
P313762,saao_saa01,seven,,t [......] who [...] (Break) (SPACER) [At this very mo]ment seven per[sons] [......] from [......] (Rest destroyed)
P313815,saao_saa01,two,,"lord, w]ote to me: ""Receive the [...]s from him!"" [......] two feet [......] set [...... I as]ked him (Break) (SPACER) [.."
P313832,saao_saa01,16,16,"I will tell to the king, my lord. [......] It rained on the 16th; [......] pour[ed ...] [......] that [...] [...... who] l"
P313871,saao_saa01,Three,,n [...... an of]ficial in charge of the seed g[rain ...... (Three untranslatable lines) [...] from under [......] he came and
P313871,saao_saa01,one,,river running past Samar[ia has dried up and] there is just one well in the whole region [......]. I have set [to work ...]
P313915,saao_saa01,third,,"]; speak [kindly] with the (king) of Arpad, and [let] your 'third man' [......]"", I adjure you by Aššur and my gods: you are"
P313923,saao_saa01,five,,(Beginning destroyed) Aššur [......] which [......] five chariots [......] 60 urabi (troops) [......] 300 Itu['aeans
P313923,saao_saa01,60,60,royed) Aššur [......] which [......] five chariots [......] 60 urabi (troops) [......] 300 Itu['aeans ......] As to the ca
P313923,saao_saa01,300,300,[......] five chariots [......] 60 urabi (troops) [......] 300 Itu['aeans ......] As to the carpenters about whom [the kin
P313923,saao_saa01,30,30,"the carpenters about whom [the king my lord] wrote to me: ""30 [......]!"" 22 carpenters ...[......]; half of them have not"
P313923,saao_saa01,22,22,"s about whom [the king my lord] wrote to me: ""30 [......]!"" 22 carpenters ...[......]; half of them have not [yet] co[me]."
P313923,saao_saa01,half,,"ord] wrote to me: ""30 [......]!"" 22 carpenters ...[......]; half of them have not [yet] co[me]. Five architects of the g[ove"
P313923,saao_saa01,Five,,carpenters ...[......]; half of them have not [yet] co[me]. Five architects of the g[overnor] of Calah have come to me [on t
P313975,saao_saa01,8,8,"nt [Aššur-bani]. Good health [to the king, my lord]! On the 8th [of ... the gods] are going to get up and [take residence"
P314003,saao_saa01,17,17,"s] well, [the queen] is well, [the slaves are] well. On the 17th [the god ...] emerged [from his temple] and saf[ely enter"
P314026,saao_saa01,100,100,[The king's wor]d to the 100 b[rick-masons]: Now t[hat] you have finished [the work] in
P314056,saao_saa01,10,10,"ed) of the ci[ty ......] we have c[ounted ......] there are 10 [......] and the rest [......] If the king, my lo[rd comman"
P314232,saao_saa01,600,600,"(Break) As to what you wrote to me: ""[We piled up for them] 600 (homers) of barley with a seah measure"" — did you pile it u"
P314232,saao_saa01,9,9,"seah measure"" — did you pile it up for them with a seah of 9 litres? [......] the barley so that the barley at their dis"
P314243,saao_saa01,21,21,ur [...]; [your servants tra]ded [the work ass]ignment with 21 [...] and shirked doing the work. [You wrote me] that in ad
P314243,saao_saa01,500,500,"rked doing the work. [You wrote me] that in addition to the 500 [logs of ...] and the 500 of [..., another ...] have been p"
P314243,saao_saa01,500,500,"wrote me] that in addition to the 500 [logs of ...] and the 500 of [..., another ...] have been piled up on the river bank."
P314243,saao_saa01,40,40,"he [...] who are with him, and [...] the l[ogs into ...] of 40 (pieces) each."" To no avail; [they did] not [do] any [work"
P314243,saao_saa01,two,,"."" To no avail; [they did] not [do] any [work ... (break of two lines) ...] have rebelled [...]. Now then [I am writing to"
P314257,saao_saa01,eight,,": ""The servants [...] of the son of Za[baba-... have ...ed] eight minas [of ...] entrusted to [......],"" — two men [...... (B"
P314257,saao_saa01,two,,"have ...ed] eight minas [of ...] entrusted to [......],"" — two men [...... (Break) (SPACER) Let him give to [the] king's m"
P314257,saao_saa01,30,30,(Break) (SPACER) Let him give to [the] king's men [......] 30 persons [......] one mina and ten [shekels of ...] retur[ne
P314257,saao_saa01,one,,t him give to [the] king's men [......] 30 persons [......] one mina and ten [shekels of ...] retur[ned ......] agree [....
P314257,saao_saa01,ten,,[the] king's men [......] 30 persons [......] one mina and ten [shekels of ...] retur[ned ......] agree [......]. The king
P314257,saao_saa01,eight,,agree [......]. The king should decide between [......] and eight [minas of ...].
P314275,saao_saa01,900,900,"y went to have a look and came back saying: ""They showed us 900 cut trunks but they are not at all suitable for the work; a"
P314297,saao_saa01,700,700,"harvest."" Whether [......] or not [......]. When [......], 700 (homers) of [......] they reaped [......] their sown fields"
P314316,saao_saa01,Five,,delegate; (Break with traces of numbers and personal names) Five [...] 30 [...... have set out] from Til-Barsip on [the ...t
P314316,saao_saa01,30,30,Break with traces of numbers and personal names) Five [...] 30 [...... have set out] from Til-Barsip on [the ...th of Nisa
P334036,saao_saa01,One,,"e carpenters) there right now, and they are going to do it. One carpenter from their ranks (who was) in the presence of the"
P334037,saao_saa01,7,7,"l-šumati, the legate of Birat entered the Inner City on the 7th. I asked him: ""Why did you come now?"" He said: ""I got a r"
P334039,saao_saa01,1,1,"t of the Palace Superintendent came and picked it up on the 1st of Ab (V). [As soon as] the emissaries [had ar]rived, the"
P334041,saao_saa01,372,372,"he beams and am sending them herewith to the king, my lord: 372 heavy beams, 808 second-size, 2,313 third-size, 11,807 four"
P334041,saao_saa01,808,808,"ending them herewith to the king, my lord: 372 heavy beams, 808 second-size, 2,313 third-size, 11,807 fourth-size, in all 1"
P334041,saao_saa01,"2,313",2313,"ith to the king, my lord: 372 heavy beams, 808 second-size, 2,313 third-size, 11,807 fourth-size, in all 15,290 sound ones, p"
P334041,saao_saa01,third,,"the king, my lord: 372 heavy beams, 808 second-size, 2,313 third-size, 11,807 fourth-size, in all 15,290 sound ones, plus 13"
P334041,saao_saa01,"11,807",11807,"y lord: 372 heavy beams, 808 second-size, 2,313 third-size, 11,807 fourth-size, in all 15,290 sound ones, plus 13,157 damaged"
P334041,saao_saa01,"15,290",15290,"8 second-size, 2,313 third-size, 11,807 fourth-size, in all 15,290 sound ones, plus 13,157 damaged or burnt. (Six illegible li"
P334041,saao_saa01,"13,157",13157,"rd-size, 11,807 fourth-size, in all 15,290 sound ones, plus 13,157 damaged or burnt. (Six illegible lines) (SPACER) ...] I tra"
P334041,saao_saa01,Six,,"e, in all 15,290 sound ones, plus 13,157 damaged or burnt. (Six illegible lines) (SPACER) ...] I transferred the [beams whi"
P334042,saao_saa01,11,11,"ing, my lord! They finished the harvest in Hin[zanu] on the 11th. [......] was reaped [...]. As long as [I am] here [....."
P334043,saao_saa01,22,22,"g, my lord! The king, my lord, wrote to me: ""Set out on the 22nd and be in the Inner City on the 29th!"" — before I go to t"
P334043,saao_saa01,29,29,"to me: ""Set out on the 22nd and be in the Inner City on the 29th!"" — before I go to the Inner City, let me come and see th"
P334044,saao_saa01,100,100,"d [if the ...] g[o ...]? [Now], the governor of Arrapha has 100 Itu'aeans standing guard in the town of Ṣibtu. Let them wri"
P334044,saao_saa01,50,50,"wn of Ṣibtu. Let them write to the legate of Ṣibtu, and let 50 men of them come and stay with the carpenters until I retur"
P334045,saao_saa01,10,10,Šarru-emuranni and [Ša]rru-nuri [came from] Babylon on the 10th [...... (Rest destroyed) (SPACER)
P334046,saao_saa01,Half,,"se you are staying at home, how do you feed (your horses)?"" Half of my horses are fed in the Barhalza province, the other ha"
P334046,saao_saa01,half,,"lf of my horses are fed in the Barhalza province, the other half eat at the [... of the ci]ty of Issete in the domestic quar"
P334047,saao_saa01,21,21,"k) (SPACER) from [......] of the city of M[unu' ...] on the 21st of [......] at his behest. The day they ente[red ..., my]"
P334048,saao_saa01,370,370,"d and am sending it herewith to the king, my lord. They are 370 men: 90 are king's men, 90 are reserves, 190 should do the"
P334048,saao_saa01,90,90,"sending it herewith to the king, my lord. They are 370 men: 90 are king's men, 90 are reserves, 190 should do the king's w"
P334048,saao_saa01,90,90,"to the king, my lord. They are 370 men: 90 are king's men, 90 are reserves, 190 should do the king's work. Let either a r"
P334048,saao_saa01,190,190,"lord. They are 370 men: 90 are king's men, 90 are reserves, 190 should do the king's work. Let either a royal bodyguard or"
P334049,saao_saa01,third,,"her and do the crossing at ... the c[am]p,"" — Arbailai the 'third man' came to me today, reporting: ""The river is [floodin]g,"
